Unique ID;Name;Division;UF
313.312;Cruzeiro (RO);Sem divisão nacional;RO
309.736;Cruzeiro (RS);Sem divisão nacional;RS
19.216.006;Cruzeiro de Arapiraca;Brasileirão Série D;AL
19.041.084;Cruzeiro de Itaporanga;Sem divisão nacional;PB
313.575;Cruzeiro do Sul (AM);Sem divisão nacional;AM
19.152.084;Cruzeiro do Sul (DF);Sem divisão nacional;DF
107.210;CSA;Brasileirão Série C;AL
313.251;CSE;Sem divisão nacional;AL
19.009.945;CSP;Sem divisão nacional;PB
19.152.078;CSU;Sem divisão nacional;AM
19.174.915;CTE Colatina;Sem divisão nacional;ES
318.915;Cuiabá;Brasileirão Assaí;MT
19.341.592;Decisão;Sem divisão nacional;PE
19.152.081;Defelê;Sem divisão nacional;DF
19.014.100;Democrata (BA);Sem divisão nacional;BA
301.184;Democrata GV;Brasileirão Série D;MG
311.869;Democrata SL;Sem divisão nacional;MG
104.975;Desportiva;Sem divisão nacional;ES
19.307.964;Desportiva (PA);Sem divisão nacional;PA
314.208;Desportiva (RN);Sem divisão nacional;RN
19.295.789;Desportiva Borborema;Sem divisão nacional;PB
311.953;Desportiva Guarabira;Sem divisão nacional;PB
19.255.066;Desportivo Aliança;Sem divisão nacional;AL
19.046.641;Desportivo Brasil;Sem divisão nacional;SP
319.121;Dimensão Saúde;Sem divisão nacional;AL
313.348;Dínamo (AL);Sem divisão nacional;AL
19.152.067;Dínamo (DF);Sem divisão nacional;DF
2.000.063.304;Dínamo Araxá (MG);Sem divisão nacional;MG
19.075.749;Doce Mel;Sem divisão nacional;BA
313.224;Dom Bosco;Sem divisão nacional;MT
313.317;Dorense;Sem divisão nacional;SE
314.721;Douradense (MS);Sem divisão nacional;MS
2.000.079.933;Dourados;Sem divisão nacional;MS
19.258.282;Doze;Sem divisão nacional;ES
19.007.826;Duque de Caxias;Sem divisão nacional;RJ
311.097;Duquecaxiense;Sem divisão nacional;RJ
312.303;EC Paraná de Londrina (PR);Sem divisão nacional;PR
19.339.799;EC Resende;Sem divisão nacional;RJ
