1937;;1959;;1960;;1961;;1962;;1963;;1964;;1965;;1966;;1967;
3.º colocado;Cruzeiro;;;;;;;;;;;;;;;;;Melhor jogador jovem;Estêvão (Palmeiras)
4.º colocado;Mirassol;;;;;;;;;;;;;;;;;Melhor treinador;Artur Jorge (Botafogo)
Rebaixado(s);Ceará;;;;;;;;;;;;;;;;;Fair play;Bahia
;Fortaleza;;;;;;;;;;;;;;;;;;
;Juventude;;;;;;;;;;;;;;;;;;
;Sport;;;;;;;;;;;;;;;;;;
Estatísticas;;;;;;;;;;;;;;;;;;;
Melhor marcador;Kaio Jorge (Cruzeiro) – 21 gols;;;;;;;;;;;;;;;;;;
Melhor ataque;Flamengo – 78 gols;;;;;;;;;;;;;;;;;;
Melhor defesa;Flamengo – 27 gols;;;;;;;;;;;;;;;;;;
Premiações;;;;;;;;;;;;;;;;;;;
Melhor jogador;Giorgian de Arrascaeta (Flamengo);;;;;;;;;;;;;;;;;;
Melhor goleiro;Agustín Rossi (Flamengo);;;;;;;;;;;;;;;;;;
Melhor jogador jovem;Rayan (Vasco da Gama);;;;;;;;;;;;;;;;;;
Melhor treinador;Rafael Guanaes (Mirassol);;;;;;;;;;;;;;;;;;
Melhor árbitro;Rodrigo José Pereira de Lima;;;;;;;;;;;;;;;;;;
