1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
*O Nacional de Patos foi punido com a perda de 6 pontos por escalar o jogador Alisson de maneira irregular na partida contra o Vitória das Tabocas;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 7;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Treze;13;6;4;1;1;14;10;4;;;;;;;;;;;;;;
2; ABC;8;6;2;2;2;6;6;0;;;;;;;;;;;;;;
3; ASA;7;6;2;1;3;5;7;-2;;;;;;;;;;;;;;
4; Baraúnas;5;6;1;2;3;8;10;-2;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 8;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Sergipe;13;6;4;1;1;12;5;7;;;;;;;;;;;;;;
2; Itabaiana;10;6;3;1;2;7;6;1;;;;;;;;;;;;;;
3; Ipitanga;8;6;2;2;2;9;9;0;;;;;;;;;;;;;;
4; Juazeiro;3;6;1;0;5;5;13;-8;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 9;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ipatinga;10;6;3;1;2;13;7;6;;;;;;;;;;;;;;
2; Serra;10;6;3;1;2;11;10;1;;;;;;;;;;;;;;
3; Americano;8;6;2;2;2;7;11;-4;;;;;;;;;;;;;;
4; Estrela do Norte;5;6;1;2;3;6;9;-3;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 10;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Atlético Sorocaba;9;6;2;3;1;11;7;4;;;;;;;;;;;;;;
2; Mogi Mirim;9;6;2;3;1;9;6;3;;;;;;;;;;;;;;
3; Madureira;8;6;2;2;2;6;8;-2;;;;;;;;;;;;;;
4; Portuguesa Santista;6;6;2;0;4;5;10;-5;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 11;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Londrina;11;6;3;2;1;11;6;5;;;;;;;;;;;;;;
2; CENE;11;6;3;2;1;10;8;2;;;;;;;;;;;;;;
3; Cianorte;6;6;1;3;2;4;6;-2;;;;;;;;;;;;;;
4; Operário-MS;3;6;0;3;3;5;10;-5;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 12;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ceilândia;10;6;3;1;2;11;7;4;;;;;;;;;;;;;;
2; Paranoá;9;6;3;0;3;7;8;-1;;;;;;;;;;;;;;
3; Mineiros;9;6;2;3;1;5;4;1;;;;;;;;;;;;;;
4; Grêmio Inhumense;5;6;1;2;3;8;12;-4;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 13;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Rio Branco-SP;9;6;2;3;1;10;9;1;;;;;;;;;;;;;;
2; Ituiutaba;8;6;2;2;2;8;10;-2;;;;;;;;;;;;;;
3; União São João;7;6;2;1;3;14;13;1;;;;;;;;;;;;;;
4; América-SP;7;6;1;4;1;11;11;0;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 14;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Villa Nova;9;6;2;3;1;6;4;2;;;;;;;;;;;;;;
2; Volta Redonda;9;6;2;3;1;4;3;1;;;;;;;;;;;;;;
3; Cabofriense;6;6;1;3;2;4;5;-1;;;;;;;;;;;;;;
4; América Mineiro;6;6;1;3;2;5;7;-2;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 15;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Novo Hamburgo;11;6;3;2;1;8;4;4;;;;;;;;;;;;;;
2; Joinville;10;6;3;1;2;9;6;3;;;;;;;;;;;;;;
3; ADAP;9;6;3;0;3;5;8;-3;;;;;;;;;;;;;;
4; Iraty;4;6;1;1;4;5;9;-4;;;;;;;;;;;;;;
"P - pontos ganhos; J - jogos; V - vitórias; E - empates; D - derrotas; GP - gols pró; GC - gols contra; SG - saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 16;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pos.;Equipes;P;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Glória;13;6;3;2;1;8;4;4;;;;;;;;;;;;;;
2; Gaúcho;9;6;3;1;2;9;6;3;;;;;;;;;;;;;;
3; Atlético de Ibirama;8;6;3;0;3;5;8;-3;;;;;;;;;;;;;;
4; Marcílio Dias;4;6;1;1;4;5;9;-4;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;
Primeira Fase;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificados à Próxima Fase;;;;;;;;;;;;;;;;;;;;;;
Grupo 1;;;;;;;;;;;;;;;;;;;;;;;
Grupo 1;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;Campeão; Criciúma;;;;;;;;;;;;
1; Tuna Luso;10;4;3;1;0;9;4;5;Vice-campeão; Vitória;;;;;;;;;;;;
2; Rio Negro;4;4;1;1;2;7;8;-1;Estatísticas;;;;;;;;;;;;;
3; ADESG;3;4;1;0;3;3;7;-4;Melhor marcador;Sorato (Bahia);;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;A maior goleada do Campeonato Brasileiro da Série C de 2006 foi a vitória do América Mineiro por 9 a 0 sobre a Jataiense;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 2;;;;;;;;;;;;;;;;;;;;;;;
Grupo 2;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Fast Clube;13;6;4;1;1;7;3;4;;;;;;;;;;;;;;
2; Ananindeua;10;6;3;1;2;12;8;4;;;;;;;;;;;;;;
3; Amapá;5;6;1;2;3;7;11;-4;;;;;;;;;;;;;;
4; São Raimundo-RR;5;6;1;2;3;5;9;-4;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 3;;;;;;;;;;;;;;;;;;;;;;;
Grupo 3;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Operário;9;6;2;3;1;8;6;2;;;;;;;;;;;;;;
2; Mixto;9;6;2;3;1;6;6;0;;;;;;;;;;;;;;
3; Araguaína;7;6;2;1;3;6;8;-2;;;;;;;;;;;;;;
4; Ulbra;0;6;1;3;2;7;7;0;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 4;;;;;;;;;;;;;;;;;;;;;;;
Grupo 4;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ríver;13;6;4;1;1;12;4;8;;;;;;;;;;;;;;
2; Maranhão;10;6;3;1;2;8;6;2;;;;;;;;;;;;;;
3; Imperatriz;8;6;2;2;2;6;4;2;;;;;;;;;;;;;;
4; Flamengo;2;6;0;2;4;3;15;-12;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 5;;;;;;;;;;;;;;;;;;;;;;;
Grupo 5;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Icasa;12;6;3;3;0;13;7;6;;;;;;;;;;;;;;
2; Porto;11;6;3;2;1;10;8;2;;;;;;;;;;;;;;
3; Baraúnas;5;6;1;2;3;8;12;-6;;;;;;;;;;;;;;
4; Botafogo;4;6;1;1;4;8;12;-4;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 6;;;;;;;;;;;;;;;;;;;;;;;
Grupo 6;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ferroviário;10;6;3;1;2;9;9;0;;;;;;;;;;;;;;
2; Treze;9;6;2;3;1;7;5;2;;;;;;;;;;;;;;
3; Potiguar;8;6;2;2;2;6;3;-3;;;;;;;;;;;;;;
4; Ypiranga;5;6;1;2;3;6;11;-5;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 7;;;;;;;;;;;;;;;;;;;;;;;
Grupo 7;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Bahia;13;6;4;1;1;12;7;5;;;;;;;;;;;;;;
2; Confiança;9;6;2;3;1;8;7;1;;;;;;;;;;;;;;
3; CSA;5;6;1;2;3;8;10;-2;;;;;;;;;;;;;;
4; Colo-Colo;5;6;1;2;3;8;12;-4;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 8;;;;;;;;;;;;;;;;;;;;;;;
Grupo 8;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Vitória;11;6;3;2;1;11;6;5;;;;;;;;;;;;;;
2; Coruripe;11;6;3;2;1;9;7;2;;;;;;;;;;;;;;
3; Pirambu;7;6;2;1;3;8;9;-1;;;;;;;;;;;;;;
4; Ipitanga;4;6;1;1;4;5;11;-6;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 9;;;;;;;;;;;;;;;;;;;;;;;
Grupo 9;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Jataiense;12;6;3;3;0;12;6;6;;;;;;;;;;;;;;
2; Anapolina;10;6;2;4;0;13;6;5;;;;;;;;;;;;;;
3; Luziânia;4;6;1;1;4;5;15;-10;;;;;;;;;;;;;;
4; Coxim;4;6;0;4;2;4;7;-3;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 10;;;;;;;;;;;;;;;;;;;;;;;
Grupo 10;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ituiutaba;13;6;4;1;1;8;2;6;;;;;;;;;;;;;;
2; Atlético;8;6;2;2;2;6;6;0;;;;;;;;;;;;;;
3; Chapadão;7;6;2;1;3;3;5;-2;;;;;;;;;;;;;;
4; Ceilândia;6;6;2;0;4;5;9;-4;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 11;;;;;;;;;;;;;;;;;;;;;;;
Grupo 11;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; América-MG;15;6;5;0;1;10;4;6;;;;;;;;;;;;;;
2; Grêmio Barueri;13;6;4;1;1;7;4;3;;;;;;;;;;;;;;
3; Vitória;4;6;1;1;4;5;9;-4;;;;;;;;;;;;;;
4; America-RJ;2;6;0;2;4;4;9;-5;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 12;;;;;;;;;;;;;;;;;;;;;;;
Grupo 12;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Americano;14;6;4;2;0;9;5;4;;;;;;;;;;;;;;
2; Ipatinga;10;6;3;1;2;6;4;2;;;;;;;;;;;;;;
3; Estrela do Norte;6;6;2;0;4;5;9;-4;;;;;;;;;;;;;;
4;Juventus;4;6;1;1;4;7;9;-2;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 13;;;;;;;;;;;;;;;;;;;;;;;
Grupo 13;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Cabofriense;11;6;3;2;1;10;6;4;;;;;;;;;;;;;;
2; Rio Branco;10;6;3;1;2;13;8;5;;;;;;;;;;;;;;
3; Madureira;7;6;2;1;3;8;7;1;;;;;;;;;;;;;;
4; União Barbarense;6;6;2;0;4;5;15;-10;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 14;;;;;;;;;;;;;;;;;;;;;;;
Grupo 14;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; J. Malucelli;10;6;3;1;2;8;4;4;;;;;;;;;;;;;;
2; Noroeste;9;6;2;3;1;5;5;0;;;;;;;;;;;;;;
3; ADAP;7;6;1;4;1;4;5;-1;;;;;;;;;;;;;;
4; América-SP;5;6;1;2;3;4;7;-3;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 15;;;;;;;;;;;;;;;;;;;;;;;
Grupo 15;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Joinville;11;6;3;2;1;8;4;4;;;;;;;;;;;;;;
2; Ulbra;10;6;2;4;0;7;5;2;;;;;;;;;;;;;;
3; Caxias;7;6;2;1;3;8;7;1;;;;;;;;;;;;;;
4; Rio Branco;4;6;1;1;4;3;10;-7;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 16;;;;;;;;;;;;;;;;;;;;;;;
Grupo 16;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Brasil de Pelotas;15;6;5;0;1;10;8;2;;;;;;;;;;;;;;
2; Criciúma;13;6;4;1;1;20;9;11;;;;;;;;;;;;;;
3; Novo Hamburgo;7;6;2;1;3;7;14;-7;;;;;;;;;;;;;;
4; Marcílio Dias;0;6;0;0;6;7;13;-6;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Segunda Fase;;;;;;;;;;;;;;;;;;;;;;;
"| style=""background:#ff8c00;""| | style=""background:#fff;""| Classificados à Próxima Fase |}";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Grupo 17;;;;;;;;;;;;;;;;;;;;;;;
Grupo 17;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ananindeua;11;6;3;2;1;12;8;4;;;;;;;;;;;;;;
2; Tuna Luso;10;6;3;1;2;10;8;2;;;;;;;;;;;;;;
3; Maranhão;7;6;2;1;3;12;12;0;;;;;;;;;;;;;;
3; Operário;5;6;1;2;3;8;14;-6;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 18;;;;;;;;;;;;;;;;;;;;;;;
Grupo 18;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ríver;11;6;3;2;1;9;4;5;;;;;;;;;;;;;;
2; Rio Negro;8;6;2;2;2;4;7;-3;;;;;;;;;;;;;;
3; Fast Clube;7;6;2;1;3;10;8;2;;;;;;;;;;;;;;
4; Mixto;6;6;1;3;2;4;5;-4;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 19;;;;;;;;;;;;;;;;;;;;;;;
Grupo 19;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Bahia;12;6;4;0;2;2;10;2;;;;;;;;;;;;;;
2; Treze;8;6;2;2;2;10;9;1;;;;;;;;;;;;;;
3; Coruripe;7;6;2;1;3;8;10;-2;;;;;;;;;;;;;;
4; Icasa;6;6;1;3;2;10;11;-1;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 20;;;;;;;;;;;;;;;;;;;;;;;
Grupo 20;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Vitória;12;6;4;0;2;14;6;8;;;;;;;;;;;;;;
2; Ferroviário;11;6;3;2;1;10;9;1;;;;;;;;;;;;;;
3; Confiança;5;6;1;2;3;7;11;-4;;;;;;;;;;;;;;
4; Porto;5;6;1;2;3;4;9;-5;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 21;;;;;;;;;;;;;;;;;;;;;;;
Grupo 21;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ipatinga;12;6;4;0;2;11;5;6;;;;;;;;;;;;;;
2; América-MG;10;6;3;1;2;13;5;8;;;;;;;;;;;;;;
3; Atlético;8;6;2;2;2;7;7;0;;;;;;;;;;;;;;
4; Jataiense;3;6;0;3;3;6;20;-14;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 22;;;;;;;;;;;;;;;;;;;;;;;
Grupo 22;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Grêmio Barueri;12;6;4;0;2;11;7;4;;;;;;;;;;;;;;
2; Anapolina;10;6;3;1;2;8;8;0;;;;;;;;;;;;;;
3; Ituiutaba;7;6;2;1;3;8;10;-2;;;;;;;;;;;;;;
4; Americano;6;6;2;0;6;8;10;-2;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 23;;;;;;;;;;;;;;;;;;;;;;;
Grupo 23;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Noroeste;10;6;3;1;2;9;5;4;;;;;;;;;;;;;;
2; Criciúma;10;6;3;1;2;10;9;1;;;;;;;;;;;;;;
3; Joinville;9;6;3;0;3;12;10;2;;;;;;;;;;;;;;
4; Cabofriense;6;6;2;0;4;8;15;-7;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 24;;;;;;;;;;;;;;;;;;;;;;;
Grupo 24;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; J. Malucelli;12;6;3;3;0;9;6;3;;;;;;;;;;;;;;
2; Brasil de Pelotas;10;6;3;1;2;6;3;3;;;;;;;;;;;;;;
3; Ulbra;6;6;1;3;2;4;7;-3;;;;;;;;;;;;;;
4; Rio Branco;3;6;0;3;3;2;5;-3;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Terceira Fase;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Classificados à Próxima Fase;;;;;;;;;;;;;;;;;;;;;;
Grupo 25;;;;;;;;;;;;;;;;;;;;;;;
Grupo 25;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Bahia;13;6;4;1;1;7;4;3;;;;;;;;;;;;;;
2; Ferroviário;8;6;2;2;2;9;8;1;;;;;;;;;;;;;;
3; Ananindeua;7;6;4;1;1;14;4;10;;;;;;;;;;;;;;
4; Rio Negro;0;6;0;0;6;2;16;-14;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 26;;;;;;;;;;;;;;;;;;;;;;;
Grupo 26;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Vitória;11;6;3;2;1;13;9;4;;;;;;;;;;;;;;
2; Treze;11;6;3;2;1;6;5;1;;;;;;;;;;;;;;
3; Tuna Luso;9;6;3;0;3;11;9;2;;;;;;;;;;;;;;
4; River;3;6;1;0;5;8;15;-7;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 27;;;;;;;;;;;;;;;;;;;;;;;
