1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
60; União Araguainense;7;6;1;4;1;5;8;-3;;;;;;;;;;;;;;
61; Bayer;6;6;2;0;4;3;16;-13;;;;;;;;;;;;;;
62; Imperatriz;6;6;1;3;2;4;13;-9;;;;;;;;;;;;;;
63; Figueirense;5;6;1;2;3;7;10;-3;;;;;;;;;;;;;;
64; União Rondonópolis;4;4;1;1;2;5;7;-2;;;;;;;;;;;;;;
65; Fluminense de Feira;10;6;3;1;2;6;6;0;;;;;;;;;;;;;;
66; Ceilandense;9;6;3;0;3;9;7;2;;;;;;;;;;;;;;
67; Villa Nova;9;6;3;0;3;8;8;0;;;;;;;;;;;;;;
68; Estrela do Norte;9;6;2;3;1;7;5;2;;;;;;;;;;;;;;
69; URT;8;6;2;2;2;8;7;1;;;;;;;;;;;;;;
70; Potiguar de Mossoró;8;6;2;2;2;7;9;-2;;;;;;;;;;;;;;
71; Vasco-AC;7;6;2;1;3;7;6;1;;;;;;;;;;;;;;
72; Porto;7;6;2;1;3;8;10;-2;;;;;;;;;;;;;;
73; Rio Branco-SP;6;6;2;0;4;6;9;-3;;;;;;;;;;;;;;
74; Brasília;6;6;2;0;4;5;9;-9;;;;;;;;;;;;;;
75; Planaltina;6;6;1;3;2;5;6;-1;;;;;;;;;;;;;;
76; Itumbiara;6;6;1;3;2;3;4;-1;;;;;;;;;;;;;;
77; Ituano;5;4;1;2;1;3;4;-1;;;;;;;;;;;;;;
78; Itaperuna;5;6;1;2;3;5;7;-2;;;;;;;;;;;;;;
79; Corintians de Caicó;5;5;1;2;2;5;7;-2;;;;;;;;;;;;;;
80; Marcílio Dias;5;4;1;2;1;2;4;-2;;;;;;;;;;;;;;
81; Campo Grande;5;6;1;2;3;6;9;-3;;;;;;;;;;;;;;
82; Bacabal;4;4;1;1;2;8;5;3;;;;;;;;;;;;;;
83; Ypiranga-PE;4;4;1;1;2;6;7;-1;;;;;;;;;;;;;;
84; Caldense;4;4;1;1;2;6;8;-2;;;;;;;;;;;;;;
85; Taveirópolis;4;4;1;1;2;3;5;-2;;;;;;;;;;;;;;
86; Kaburé;4;4;1;1;2;2;4;-2;;;;;;;;;;;;;;
87; Progresso;4;4;1;1;2;5;8;-3;;;;;;;;;;;;;;
88; Atlético Sorocaba;4;4;1;1;2;2;5;-3;;;;;;;;;;;;;;
89; Rio Verde;4;4;1;1;4;5;10;-5;;;;;;;;;;;;;;
90; São Mateus;4;6;0;4;2;5;8;-3;;;;;;;;;;;;;;
91; Nacional-SP;3;4;1;0;3;3;5;-2;;;;;;;;;;;;;;
92; Cascavel;3;4;1;0;3;1;8;-7;;;;;;;;;;;;;;
93; Democrata-SL;3;4;1;0;3;1;9;-8;;;;;;;;;;;;;;
94; Confiança;3;4;0;3;1;6;7;-1;;;;;;;;;;;;;;
95; Sete de Setembro-AL;3;6;0;3;3;9;14;-5;;;;;;;;;;;;;;
96; Duque de Caxias-MA;2;4;0;2;2;2;4;-2;;;;;;;;;;;;;;
97; Pelotas;2;4;0;2;2;3;6;-3;;;;;;;;;;;;;;
98; Botafogo-PB;2;5;0;2;3;2;7;-5;;;;;;;;;;;;;;
99; Fast Clube;1;4;0;1;3;1;5;-4;;;;;;;;;;;;;;
100; Cori-Sabbá;1;4;0;1;3;1;5;-4;;;;;;;;;;;;;;
101; Mirassol;1;6;0;1;5;2;10;-8;;;;;;;;;;;;;;
102; Maruinense;1;6;0;1;5;2;11;-9;;;;;;;;;;;;;;
103; Tiradentes-DF;1;6;0;1;5;3;14;-11;;;;;;;;;;;;;;
104; Alecrim;1;6;0;1;5;0;11;-11;;;;;;;;;;;;;;
105; Atlético Acreano;1;6;0;1;5;2;14;-12;;;;;;;;;;;;;;
106; Caçadorense;0;4;0;0;4;1;9;-8;;;;;;;;;;;;;;
107; Andirá;0;4;0;0;4;2;11;-9;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1996;;;;;;;;;;;;;;;;;;;;;;;
Tabela de classificação;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
C.;Time;PG;J;V;E;D;GP;GC;SG;Campeão;Vila Nova;;;;;;;;;;;;
1; Vila Nova;36;14;11;3;0;29;8;21;Vice-campeão;Botafogo-SP;;;;;;;;;;;;
2; Botafogo-SP;32;18;9;5;4;28;13;15;Promovido(s);Vila Nova;;;;;;;;;;;;
3; Figueirense;26;16;8;2;6;22;17;5;;Botafogo-SP;;;;;;;;;;;;
4; Porto;18;12;4;6;2;20;16;4;Estatísticas;;;;;;;;;;;;;
5; Rio Branco-SP;25;14;7;4;3;31;13;18;Melhor marcador;Marcelinho Paraíba (Rio Branco-SP) – 16 gols;;;;;;;;;;;;
